date (year-month-day),species,trial start hour,trial start min,subject,donor,mouthlickinng start (hours),mouthlicking start (minutes),mouthlicking start (seconds),duration(s)
8/7/11,Desmodus rotundus,7,12,vampirella,lucy,8,9,41,44
8/7/11,Desmodus rotundus,7,12,vampirella,bella,8,23,16,85
8/7/11,Desmodus rotundus,7,12,vampirella,bella,8,26,40,48
8/7/11,Desmodus rotundus,7,12,vampirella,lucy,8,38,39,88
8/7/11,Desmodus rotundus,7,12,vampirella,bella,8,44,39,16
8/7/11,Desmodus rotundus,7,12,vampirella,bella,8,45,10,30
8/7/11,Desmodus rotundus,7,12,vampirella,bella,8,47,12,23
8/7/11,Desmodus rotundus,7,12,vampirella,bella,8,47,46,22
8/7/11,Desmodus rotundus,7,12,vampirella,bella,8,48,24,8
8/7/11,Desmodus rotundus,7,12,vampirella,bella,8,48,40,9
8/7/11,Desmodus rotundus,7,12,vampirella,bella,7,26,48,7
8/7/11,Desmodus rotundus,7,12,vampirella,bella,7,24,3,154
8/7/11,Desmodus rotundus,7,12,vampirella,mya,7,21,57,115
8/7/11,Desmodus rotundus,7,12,vampirella,bella,7,28,31,72
8/8/11,Desmodus rotundus,7,4,bella,helsing,7,56,30,48
8/8/11,Desmodus rotundus,7,4,bella,helsing,7,59,35,143
8/8/11,Desmodus rotundus,7,4,bella,helsing,8,2,12,97
8/8/11,Desmodus rotundus,7,4,bella,helsing,8,5,20,22
8/8/11,Desmodus rotundus,7,4,bella,helsing,8,5,56,7
8/8/11,Desmodus rotundus,7,4,bella,helsing,8,8,7,26
8/8/11,Desmodus rotundus,7,4,bella,gomez,8,10,37,7
8/8/11,Desmodus rotundus,7,4,bella,gomez,8,11,14,15
8/8/11,Desmodus rotundus,7,4,bella,gomez,8,11,36,61
8/8/11,Desmodus rotundus,7,4,bella,gomez,8,13,1,11
8/8/11,Desmodus rotundus,7,4,bella,gomez,8,13,59,11
8/8/11,Desmodus rotundus,7,4,bella,mya,8,20,49,30
8/8/11,Desmodus rotundus,7,4,bella,mya,8,35,38,57
8/8/11,Desmodus rotundus,7,4,bella,lucy,8,37,34,21
8/8/11,Desmodus rotundus,7,4,bella,helsing,8,43,12,62
8/8/11,Desmodus rotundus,7,4,bella,helsing,8,44,34,36
8/8/11,Desmodus rotundus,7,4,bella,helsing,8,46,6,78
8/8/11,Desmodus rotundus,7,4,bella,gomez,8,53,9,186
8/8/11,Desmodus rotundus,7,4,bella,gomez,7,52,14,15
8/8/11,Desmodus rotundus,7,4,bella,gomez,7,49,28,158
8/8/11,Desmodus rotundus,7,4,bella,gomez,7,48,31,8
8/8/11,Desmodus rotundus,7,4,bella,helsing,7,54,45,5
8/9/11,Desmodus rotundus,6,53,mya,streblick,7,7,59,11
8/9/11,Desmodus rotundus,6,53,mya,bella,7,14,0,7
8/9/11,Desmodus rotundus,6,53,mya,veronica,7,19,10,82
8/9/11,Desmodus rotundus,6,53,mya,veronica,7,20,46,31
8/9/11,Desmodus rotundus,6,53,mya,veronica,7,26,35,32
8/9/11,Desmodus rotundus,6,53,mya,veronica,7,49,32,57
8/9/11,Desmodus rotundus,6,53,mya,veronica,7,50,54,42
8/9/11,Desmodus rotundus,6,53,mya,veronica,7,56,37,29
8/9/11,Desmodus rotundus,6,53,mya,veronica,8,4,33,23
8/9/11,Desmodus rotundus,6,53,mya,veronica,8,9,29,20
8/9/11,Desmodus rotundus,6,53,mya,veronica,8,10,13,104
8/9/11,Desmodus rotundus,6,53,mya,veronica,8,22,59,84
8/9/11,Desmodus rotundus,6,53,mya,veronica,8,25,34,66
8/9/11,Desmodus rotundus,6,53,mya,veronica,8,48,33,34
8/9/11,Desmodus rotundus,6,53,mya,streblick,7,0,59,193
8/9/11,Desmodus rotundus,6,53,mya,streblick,7,0,0,17
8/9/11,Desmodus rotundus,6,53,mya,streblick,6,56,27,75
8/9/11,Desmodus rotundus,6,53,mya,streblick,7,5,56,91
8/10/11,Desmodus rotundus,7,2,veronica,bella,7,16,31,58
8/10/11,Desmodus rotundus,7,2,veronica,lucy,7,24,49,58
8/10/11,Desmodus rotundus,7,2,veronica,mya,8,6,14,184
8/10/11,Desmodus rotundus,7,2,veronica,mya,8,12,23,48
8/10/11,Desmodus rotundus,7,2,veronica,mya,8,14,1,138
8/10/11,Desmodus rotundus,7,2,veronica,mya,8,17,37,450
8/10/11,Desmodus rotundus,7,2,veronica,lucy,8,30,41,98
8/10/11,Desmodus rotundus,7,2,veronica,fuschia,8,37,17,117
8/10/11,Desmodus rotundus,7,2,veronica,fuschia,8,39,23,6
8/10/11,Desmodus rotundus,7,2,veronica,fuschia,8,45,15,71
8/10/11,Desmodus rotundus,7,2,veronica,bella,7,11,38,15
8/10/11,Desmodus rotundus,7,2,veronica,bella,7,11,21,5
8/10/11,Desmodus rotundus,7,2,veronica,bella,7,7,53,155
8/10/11,Desmodus rotundus,7,2,veronica,bella,7,12,3,11
8/11/11,Desmodus rotundus,7,0,lucy,mya,7,15,40,70
8/11/11,Desmodus rotundus,7,0,lucy,mya,7,17,46,43
8/11/11,Desmodus rotundus,7,0,lucy,vlad,7,18,46,197
8/11/11,Desmodus rotundus,7,0,lucy,maribelo,7,22,57,328
8/11/11,Desmodus rotundus,7,0,lucy,maribelo,7,28,30,11
8/11/11,Desmodus rotundus,7,0,lucy,maribelo,7,28,56,18
8/11/11,Desmodus rotundus,7,0,lucy,maribelo,7,29,18,17
8/11/11,Desmodus rotundus,7,0,lucy,mya,7,29,54,146
8/11/11,Desmodus rotundus,7,0,lucy,maribelo,7,32,34,8
8/11/11,Desmodus rotundus,7,0,lucy,mya,7,35,18,73
8/11/11,Desmodus rotundus,7,0,lucy,mya,7,36,49,52
8/11/11,Desmodus rotundus,7,0,lucy,mya,7,37,50,9
8/11/11,Desmodus rotundus,7,0,lucy,mya,7,38,8,13
8/11/11,Desmodus rotundus,7,0,lucy,veronica,7,38,46,9
8/11/11,Desmodus rotundus,7,0,lucy,veronica,7,39,18,44
8/11/11,Desmodus rotundus,7,0,lucy,mya,7,40,52,96
8/11/11,Desmodus rotundus,7,0,lucy,vampirella,7,47,28,7
8/11/11,Desmodus rotundus,7,0,lucy,mya,7,48,19,27
8/11/11,Desmodus rotundus,7,0,lucy,vampirella,7,54,5,143
8/11/11,Desmodus rotundus,7,0,lucy,veronica,7,57,46,71
8/11/11,Desmodus rotundus,7,0,lucy,vampirella,8,3,19,56
8/11/11,Desmodus rotundus,7,0,lucy,veronica,8,11,33,47
8/11/11,Desmodus rotundus,7,0,lucy,vampirella,8,15,9,79
8/11/11,Desmodus rotundus,7,0,lucy,vampirella,8,16,39,39
8/11/11,Desmodus rotundus,7,0,lucy,vampirella,8,22,40,62
8/11/11,Desmodus rotundus,7,0,lucy,vampirella,8,24,6,32
8/11/11,Desmodus rotundus,7,0,lucy,vampirella,8,29,23,58
8/11/11,Desmodus rotundus,7,0,lucy,vampirella,8,31,18,15
8/11/11,Desmodus rotundus,7,0,lucy,veronica,8,36,25,74
8/11/11,Desmodus rotundus,7,0,lucy,veronica,8,38,8,42
8/11/11,Desmodus rotundus,7,0,lucy,veronica,8,38,56,14
8/11/11,Desmodus rotundus,7,0,lucy,veronica,8,39,19,22
8/11/11,Desmodus rotundus,7,0,lucy,veronica,8,40,9,7
8/11/11,Desmodus rotundus,7,0,lucy,veronica,8,40,28,37
8/11/11,Desmodus rotundus,7,0,lucy,veronica,8,50,59,22
8/11/11,Desmodus rotundus,7,0,lucy,mya,8,52,54,9
8/11/11,Desmodus rotundus,7,0,lucy,mya,7,5,5,143
8/11/11,Desmodus rotundus,7,0,lucy,mya,7,3,25,89
8/11/11,Desmodus rotundus,7,0,lucy,bella,7,2,49,23
8/11/11,Desmodus rotundus,7,0,lucy,maribelo,7,8,7,159
8/15/11,Desmodus rotundus,7,10,vampirella,maribelo,7,31,0,256
8/15/11,Desmodus rotundus,7,10,vampirella,maribelo,7,35,38,41
8/15/11,Desmodus rotundus,7,10,vampirella,maribelo,7,38,1,91
8/15/11,Desmodus rotundus,7,10,vampirella,mya,7,53,41,136
8/15/11,Desmodus rotundus,7,10,vampirella,mya,7,56,24,12
8/15/11,Desmodus rotundus,7,10,vampirella,mya,7,57,1,88
8/15/11,Desmodus rotundus,7,10,vampirella,count,8,14,18,321
8/15/11,Desmodus rotundus,7,10,vampirella,veronica,8,30,18,18
8/15/11,Desmodus rotundus,7,10,vampirella,veronica,8,31,56,5
8/15/11,Desmodus rotundus,7,10,vampirella,count,9,3,22,133
8/15/11,Desmodus rotundus,7,10,vampirella,bella,7,22,50,26
8/15/11,Desmodus rotundus,7,10,vampirella,lucy,7,18,15,5
8/15/11,Desmodus rotundus,7,10,vampirella,bella,7,16,6,33
8/15/11,Desmodus rotundus,7,10,vampirella,maribelo,7,27,45,178
8/16/11,Desmodus rotundus,7,4,mya,bella,7,17,17,20
8/16/11,Desmodus rotundus,7,4,mya,veronica,7,17,57,71
8/16/11,Desmodus rotundus,7,4,mya,veronica,7,20,3,48
8/16/11,Desmodus rotundus,7,4,mya,veronica,7,41,12,6
8/16/11,Desmodus rotundus,7,4,mya,bella,8,5,53,13
8/16/11,Desmodus rotundus,7,4,mya,bella,8,6,10,5
8/16/11,Desmodus rotundus,7,4,mya,mina,8,7,49,38
